Exporter,Importer,Year,Quantity
Brazil,Switzerland,1990,16051414
Brazil,Tunisia,1990,1384451
Brazil,United Kingdom,1990,39724164
Brazil,United States of America,1990,287952209
Burundi,Austria,1990,890142
Burundi,Belgium/Luxembourg,1990,954062
Burundi,Bulgaria,1990,126892
Burundi,Cyprus,1990,23673
Burundi,Czechia,1990,312023
Burundi,Denmark,1990,454068
Burundi,Finland,1990,518461
Burundi,France,1990,2983396
Burundi,Germany,1990,6472942
Burundi,Greece,1990,303973
Burundi,Hungary,1990,271777
Burundi,Ireland,1990,61078
Burundi,Italy,1990,2481981
Burundi,Malta,1990,9943
Burundi,Netherlands,1990,1481045
Burundi,Poland,1990,205963
Burundi,Portugal,1990,261360
Burundi,Romania,1990,209278
Burundi,Spain,1990,1445534
Burundi,Sweden,1990,836639
Burundi,Japan,1990,2523648
Burundi,Norway,1990,351322
Burundi,Switzerland,1990,554445
Burundi,Tunisia,1990,47821
Burundi,United Kingdom,1990,1372145
Burundi,United States of America,1990,9946389
Cameroon,Austria,1990,3972924
Cameroon,Belgium/Luxembourg,1990,4258214
Cameroon,Bulgaria,1990,566352
Cameroon,Cyprus,1990,105662
Cameroon,Czechia,1990,1392636
Cameroon,Denmark,1990,2026614
Cameroon,Finland,1990,2314017
Cameroon,France,1990,13315636
Cameroon,Germany,1990,28890343
Cameroon,Greece,1990,1356711
Cameroon,Hungary,1990,1213009
Cameroon,Ireland,1990,272610
Cameroon,Italy,1990,11077696
Cameroon,Malta,1990,44378
Cameroon,Netherlands,1990,6610270
Cameroon,Poland,1990,919266
Cameroon,Portugal,1990,1166518
Cameroon,Romania,1990,934059
Cameroon,Spain,1990,6451775
Cameroon,Sweden,1990,3734126
Cameroon,Japan,1990,11263663
Cameroon,Norway,1990,1568037
Cameroon,Switzerland,1990,2474625
Cameroon,Tunisia,1990,213439
Cameroon,United Kingdom,1990,6124221
Cameroon,United States of America,1990,44393199
Central African Republic,Austria,1990,299758
Central African Republic,Belgium/Luxembourg,1990,321283
Central African Republic,Bulgaria,1990,42731
Central African Republic,Cyprus,1990,7972
Central African Republic,Czechia,1990,105074
Central African Republic,Denmark,1990,152909
Central African Republic,Finland,1990,174593
Central African Republic,France,1990,1004665
Central African Republic,Germany,1990,2179777
Central African Republic,Greece,1990,102363
Central African Republic,Hungary,1990,91521
Central African Republic,Ireland,1990,20568
Central African Republic,Italy,1990,835813
Central African Republic,Malta,1990,3348
Central African Republic,Netherlands,1990,498745
Central African Republic,Poland,1990,69358
Central African Republic,Portugal,1990,88013
Central African Republic,Romania,1990,70474
Central African Republic,Spain,1990,486787
Central African Republic,Sweden,1990,281740
Central African Republic,Japan,1990,849844
Central African Republic,Norway,1990,118309
Central African Republic,Switzerland,1990,186711
Central African Republic,Tunisia,1990,16103
Central African Republic,United Kingdom,1990,462073
Central African Republic,United States of America,1990,3349468
Colombia,Austria,1990,21217332
Colombia,Belgium/Luxembourg,1990,22740917
Colombia,Bulgaria,1990,3024598
Colombia,Cyprus,1990,564290
Colombia,Czechia,1990,7437351
Colombia,Denmark,1990,10823096
Colombia,Finland,1990,12357966
Colombia,France,1990,71111918
Colombia,Germany,1990,154288370
Colombia,Greece,1990,7245492
Colombia,Hungary,1990,6478057
Colombia,Ireland,1990,1455870
Colombia,Italy,1990,59160240
Colombia,Malta,1990,237002
Colombia,Netherlands,1990,35302028
Colombia,Poland,1990,4909329
Colombia,Portugal,1990,6229769
Colombia,Romania,1990,4988330
Colombia,Spain,1990,34455592
Colombia,Sweden,1990,19942035
Colombia,Japan,1990,60153392
Colombia,Norway,1990,8374074
Colombia,Switzerland,1990,13215688
Colombia,Tunisia,1990,1139867
Colombia,United Kingdom,1990,32706291
Colombia,United States of America,1990,237081106
Congo,Austria,1990,3044
Congo,Belgium/Luxembourg,1990,3262
Congo,Bulgaria,1990,433
Congo,Cyprus,1990,80
Congo,Czechia,1990,1066
Congo,Denmark,1990,1553
Congo,Finland,1990,1773
Congo,France,1990,10200
Congo,Germany,1990,22130
Congo,Greece,1990,1039
Congo,Hungary,1990,929
Congo,Ireland,1990,208
Congo,Italy,1990,8486
Congo,Malta,1990,33
Congo,Netherlands,1990,5064
Congo,Poland,1990,704
Congo,Portugal,1990,893
Congo,Romania,1990,715
Congo,Spain,1990,4942
Congo,Sweden,1990,2861
Congo,Japan,1990,8628
Congo,Norway,1990,1201
Congo,Switzerland,1990,1896
Congo,Tunisia,1990,163
Congo,United Kingdom,1990,4692
Congo,United States of America,1990,34005
Costa Rica,Austria,1990,3447969
Costa Rica,Belgium/Luxembourg,1990,3695562
Costa Rica,Bulgaria,1990,491518
Costa Rica,Cyprus,1990,91701
Costa Rica,Czechia,1990,1208622
Costa Rica,Denmark,1990,1758831
Costa Rica,Finland,1990,2008259
Costa Rica,France,1990,11556197
Costa Rica,Germany,1990,25072967
Costa Rica,Greece,1990,1177444
Costa Rica,Hungary,1990,1052730
Costa Rica,Ireland,1990,236589
Costa Rica,Italy,1990,9613964
Costa Rica,Malta,1990,38514
Costa Rica,Netherlands,1990,5736833
Costa Rica,Poland,1990,797801
Costa Rica,Portugal,1990,1012382
Costa Rica,Romania,1990,810639
Costa Rica,Spain,1990,5599281
Costa Rica,Sweden,1990,3240724
Costa Rica,Japan,1990,9775358
Costa Rica,Norway,1990,1360847
Costa Rica,Switzerland,1990,2147645
Costa Rica,Tunisia,1990,185236
Costa Rica,United Kingdom,1990,5315007
Costa Rica,United States of America,1990,38527380
Côte d'Ivoire,Austria,1990,6517057
Côte d'Ivoire,Belgium/Luxembourg,1990,6985037
Côte d'Ivoire,Bulgaria,1990,929027
Côte d'Ivoire,Cyprus,1990,173325
Côte d'Ivoire,Czechia,1990,2284436
Côte d'Ivoire,Denmark,1990,3324391
Côte d'Ivoire,Finland,1990,3795838
Côte d'Ivoire,France,1990,21842538
Côte d'Ivoire,Germany,1990,47390784
Côte d'Ivoire,Greece,1990,2225505
Côte d'Ivoire,Hungary,1990,1989782
Côte d'Ivoire,Ireland,1990,447180
Côte d'Ivoire,Italy,1990,18171494
Côte d'Ivoire,Malta,1990,72796
Côte d'Ivoire,Netherlands,1990,10843273
Côte d'Ivoire,Poland,1990,1507935
Côte d'Ivoire,Portugal,1990,1913518
Côte d'Ivoire,Romania,1990,1532201
Côte d'Ivoire,Spain,1990,10583284
Côte d'Ivoire,Sweden,1990,6125340
Côte d'Ivoire,Japan,1990,18476548
Côte d'Ivoire,Norway,1990,2572157
Côte d'Ivoire,Switzerland,1990,4059294
Côte d'Ivoire,Tunisia,1990,350118
Côte d'Ivoire,United Kingdom,1990,10045973
Côte d'Ivoire,United States of America,1990,72821169
Cuba,Austria,1990,276934
Cuba,Belgium/Luxembourg,1990,296820
Cuba,Bulgaria,1990,39477
Cuba,Cyprus,1990,7365
Cuba,Czechia,1990,97073
Cuba,Denmark,1990,141265
Cuba,Finland,1990,161299
Cuba,France,1990,928168
Cuba,Germany,1990,2013805
Cuba,Greece,1990,94569
Cuba,Hungary,1990,84552
Cuba,Ireland,1990,19002
Cuba,Italy,1990,772172
Cuba,Malta,1990,3093
Cuba,Netherlands,1990,460770
Cuba,Poland,1990,64077
Cuba,Portugal,1990,81312
Cuba,Romania,1990,65108
Cuba,Spain,1990,449722
Cuba,Sweden,1990,260288
Cuba,Japan,1990,785135
Cuba,Norway,1990,109300
Cuba,Switzerland,1990,172494
Cuba,Tunisia,1990,14877
Cuba,United Kingdom,1990,426890
Cuba,United States of America,1990,3094433
Democratic Republic of Congo,Austria,1990,2798241
Democratic Republic of Congo,Belgium/Luxembourg,1990,2999179
Democratic Republic of Congo,Bulgaria,1990,398898
Democratic Republic of Congo,Cyprus,1990,74421
Democratic Republic of Congo,Czechia,1990,980872
Democratic Republic of Congo,Denmark,1990,1427401
Democratic Republic of Congo,Finland,1990,1629827
Democratic Republic of Congo,France,1990,9378573
Democratic Republic of Congo,Germany,1990,20348273
Democratic Republic of Congo,Greece,1990,955569
Democratic Republic of Congo,Hungary,1990,854356
Democratic Republic of Congo,Ireland,1990,192006
Democratic Republic of Congo,Italy,1990,7802330
Democratic Republic of Congo,Malta,1990,31256
Democratic Republic of Congo,Netherlands,1990,4655797
Democratic Republic of Congo,Poland,1990,647465
Democratic Republic of Congo,Portugal,1990,821611
Democratic Republic of Congo,Romania,1990,657884
Democratic Republic of Congo,Spain,1990,4544165
Democratic Republic of Congo,Sweden,1990,2630049
Democratic Republic of Congo,Japan,1990,7933311
Democratic Republic of Congo,Norway,1990,1104412
Democratic Republic of Congo,Switzerland,1990,1742947
Democratic Republic of Congo,Tunisia,1990,150331
Democratic Republic of Congo,United Kingdom,1990,4313459
Democratic Republic of Congo,United States of America,1990,31267367
Dominican Republic,Austria,1990,814062
Dominican Republic,Belgium/Luxembourg,1990,872518
Dominican Republic,Bulgaria,1990,116047
Dominican Republic,Cyprus,1990,21650
Dominican Republic,Czechia,1990,285354
Dominican Republic,Denmark,1990,415257
Dominican Republic,Finland,1990,474148
Dominican Republic,France,1990,2728405
Dominican Republic,Germany,1990,5919699
Dominican Republic,Greece,1990,277993
Dominican Republic,Hungary,1990,248548
Dominican Republic,Ireland,1990,55858
Dominican Republic,Italy,1990,2269846
Dominican Republic,Malta,1990,9093
Dominican Republic,Netherlands,1990,1354460
Dominican Republic,Poland,1990,188359
Dominican Republic,Portugal,1990,239022
Dominican Republic,Romania,1990,191391
Dominican Republic,Spain,1990,1321984
Dominican Republic,Sweden,1990,765132
Dominican Republic,Japan,1990,2307951
Dominican Republic,Norway,1990,321294
Dominican Republic,Switzerland,1990,507057
Dominican Republic,Tunisia,1990,43734
Dominican Republic,United Kingdom,1990,1254867
Dominican Republic,United States of America,1990,9096271
Ecuador,Austria,1990,2714553
Ecuador,Belgium/Luxembourg,1990,2909481
Ecuador,Bulgaria,1990,386968
Ecuador,Cyprus,1990,72195
Ecuador,Czechia,1990,951537
Ecuador,Denmark,1990,1384711
Ecuador,Finland,1990,1581083
Ecuador,France,1990,9098083
Ecuador,Germany,1990,19739706
Ecuador,Greece,1990,926990
Ecuador,Hungary,1990,828804
Ecuador,Ireland,1990,186264
Ecuador,Italy,1990,7568981
Ecuador,Malta,1990,30322
Ecuador,Netherlands,1990,4516554
Ecuador,Poland,1990,628101
Ecuador,Portugal,1990,797038
Ecuador,Romania,1990,638208
Ecuador,Spain,1990,4408260
Ecuador,Sweden,1990,2551391
Ecuador,Japan,1990,7696045
Ecuador,Norway,1990,1071381
Ecuador,Switzerland,1990,1690820
Ecuador,Tunisia,1990,145834
Ecuador,United Kingdom,1990,4184454
Ecuador,United States of America,1990,30332236
El Salvador,Austria,1990,3819242
El Salvador,Belgium/Luxembourg,1990,4093496
El Salvador,Bulgaria,1990,544445
El Salvador,Cyprus,1990,101575
El Salvador,Czechia,1990,1338765
El Salvador,Denmark,1990,1948219
El Salvador,Finland,1990,2224505
El Salvador,France,1990,12800554
El Salvador,Germany,1990,27772792
El Salvador,Greece,1990,1304230
El Salvador,Hungary,1990,1166087
El Salvador,Ireland,1990,262064
El Salvador,Italy,1990,10649183
El Salvador,Malta,1990,42661
El Salvador,Netherlands,1990,6354568
El Salvador,Poland,1990,883707
El Salvador,Portugal,1990,1121394
El Salvador,Romania,1990,897928
El Salvador,Spain,1990,6202205
El Salvador,Sweden,1990,3589681
El Salvador,Japan,1990,10827956
El Salvador,Norway,1990,1507381
El Salvador,Switzerland,1990,2378900
El Salvador,Tunisia,1990,205182
El Salvador,United Kingdom,1990,5887320
El Salvador,United States of America,1990,42675960
Equatorial Guinea,Austria,1990,10652
Equatorial Guinea,Belgium/Luxembourg,1990,11417
Equatorial Guinea,Bulgaria,1990,1518
Equatorial Guinea,Cyprus,1990,283
Equatorial Guinea,Czechia,1990,3733
Equatorial Guinea,Denmark,1990,5433
Equatorial Guinea,Finland,1990,6204
Equatorial Guinea,France,1990,35699
Equatorial Guinea,Germany,1990,77455
Equatorial Guinea,Greece,1990,3637
Equatorial Guinea,Hungary,1990,3252
Equatorial Guinea,Ireland,1990,730
Equatorial Guinea,Italy,1990,29699
Equatorial Guinea,Malta,1990,118
Equatorial Guinea,Netherlands,1990,17722
Equatorial Guinea,Poland,1990,2464
Equatorial Guinea,Portugal,1990,3127
Equatorial Guinea,Romania,1990,2504
Equatorial Guinea,Spain,1990,17297
Equatorial Guinea,Sweden,1990,10012
Equatorial Guinea,Japan,1990,30198
Equatorial Guinea,Norway,1990,4203
Equatorial Guinea,Switzerland,1990,6635
Equatorial Guinea,Tunisia,1990,572
Equatorial Guinea,United Kingdom,1990,16419
Equatorial Guinea,United States of America,1990,119017
Ethiopia,Austria,1990,1634210
Ethiopia,Belgium/Luxembourg,1990,1751560
Ethiopia,Bulgaria,1990,232961
Ethiopia,Cyprus,1990,43463
Ethiopia,Czechia,1990,572842
Ethiopia,Denmark,1990,833620
Ethiopia,Finland,1990,951839
Ethiopia,France,1990,5477209
Ethiopia,Germany,1990,11883657
Ethiopia,Greece,1990,558065
Ethiopia,Hungary,1990,498955
Ethiopia,Ireland,1990,112134
Ethiopia,Italy,1990,4556663
Ethiopia,Malta,1990,18254
Ethiopia,Netherlands,1990,2719047
Ethiopia,Poland,1990,378128
Ethiopia,Portugal,1990,479831
Ethiopia,Romania,1990,384213
Ethiopia,Spain,1990,2653852
Ethiopia,Sweden,1990,1535983
Ethiopia,Japan,1990,4633158
Ethiopia,Norway,1990,644991
Ethiopia,Switzerland,1990,1017903
Ethiopia,Tunisia,1990,87795
Ethiopia,United Kingdom,1990,2519117
Ethiopia,United States of America,1990,18260550
Gabon,Austria,1990,3044
Gabon,Belgium/Luxembourg,1990,3262
Gabon,Bulgaria,1990,433
Gabon,Cyprus,1990,80
Gabon,Czechia,1990,1066
Gabon,Denmark,1990,1553
Gabon,Finland,1990,1773
Gabon,France,1990,10200
Gabon,Germany,1990,22130
Gabon,Greece,1990,1039
Gabon,Hungary,1990,929
Gabon,Ireland,1990,208
Gabon,Italy,1990,8486
Gabon,Malta,1990,33
Gabon,Netherlands,1990,5064
Gabon,Poland,1990,704
Gabon,Portugal,1990,893
Gabon,Romania,1990,715
Gabon,Spain,1990,4942
Gabon,Sweden,1990,2861
Gabon,Japan,1990,8628
Gabon,Norway,1990,1201
Gabon,Switzerland,1990,1896
Gabon,Tunisia,1990,163
Gabon,United Kingdom,1990,4692
Gabon,United States of America,1990,34005
Ghana,Austria,1990,16738
Ghana,Belgium/Luxembourg,1990,17940
Ghana,Bulgaria,1990,2386
Ghana,Cyprus,1990,445
Ghana,Czechia,1990,5867
Ghana,Denmark,1990,8538
Ghana,Finland,1990,9748
Ghana,France,1990,56099
Ghana,Germany,1990,121714
Ghana,Greece,1990,5715
Ghana,Hungary,1990,5110
Ghana,Ireland,1990,1148
Ghana,Italy,1990,46670
Ghana,Malta,1990,186
Ghana,Netherlands,1990,27849
Ghana,Poland,1990,3872
Ghana,Portugal,1990,4914
Ghana,Romania,1990,3935
Ghana,Spain,1990,27181
Ghana,Sweden,1990,15732
Ghana,Japan,1990,47454
Ghana,Norway,1990,6606
Ghana,Switzerland,1990,10425
Ghana,Tunisia,1990,899
Ghana,United Kingdom,1990,25802
Ghana,United States of America,1990,187027
Guatemala,Austria,1990,4930017
Guatemala,Belgium/Luxembourg,1990,5284034
Guatemala,Bulgaria,1990,702789
Guatemala,Cyprus,1990,131117
Guatemala,Czechia,1990,1728128
Guatemala,Denmark,1990,2514833
Guatemala,Finland,1990,2871472
Guatemala,France,1990,16523424
Guatemala,Germany,1990,35850138
Guatemala,Greece,1990,1683548
Guatemala,Hungary,1990,1505228
Guatemala,Ireland,1990,338283
Guatemala,Italy,1990,13746356
Guatemala,Malta,1990,55069
Guatemala,Netherlands,1990,8202709
Guatemala,Poland,1990,1140721
Guatemala,Portugal,1990,1447536
Guatemala,Romania,1990,1159078
Guatemala,Spain,1990,8006033
Guatemala,Sweden,1990,4633692
Guatemala,Japan,1990,13977122
Guatemala,Norway,1990,1945783
Guatemala,Switzerland,1990,3070771
Guatemala,Tunisia,1990,264857
Guatemala,United Kingdom,1990,7599569
Guatemala,United States of America,1990,55087693
Guinea,Austria,1990,185637
Guinea,Belgium/Luxembourg,1990,198967
Guinea,Bulgaria,1990,26463
Guinea,Cyprus,1990,4937
Guinea,Czechia,1990,65071
Guinea,Denmark,1990,94694
Guinea,Finland,1990,108123
Guinea,France,1990,622179
Guinea,Germany,1990,1349913
Guinea,Greece,1990,63392
Guinea,Hungary,1990,56678
Guinea,Ireland,1990,12737
Guinea,Italy,1990,517610
Guinea,Malta,1990,2073
Guinea,Netherlands,1990,308868
Guinea,Poland,1990,42953
Guinea,Portugal,1990,54506
Guinea,Romania,1990,43644
Guinea,Spain,1990,301462
Guinea,Sweden,1990,174479
Guinea,Japan,1990,526300
Guinea,Norway,1990,73267
Guinea,Switzerland,1990,115627
Guinea,Tunisia,1990,9973
Guinea,United Kingdom,1990,286157
Guinea,United States of America,1990,2074290
Haiti,Austria,1990,290628
Haiti,Belgium/Luxembourg,1990,311498
Haiti,Bulgaria,1990,41429
Haiti,Cyprus,1990,7729
Haiti,Czechia,1990,101874
Haiti,Denmark,1990,148250
Haiti,Finland,1990,169276
Haiti,France,1990,974066
Haiti,Germany,1990,2113388
Haiti,Greece,1990,99246
Haiti,Hungary,1990,88734
Haiti,Ireland,1990,19941
Haiti,Italy,1990,810357
Haiti,Malta,1990,3246
Haiti,Netherlands,1990,483555
Haiti,Poland,1990,67246
Haiti,Portugal,1990,85333
Haiti,Romania,1990,68328
Haiti,Spain,1990,471961
Haiti,Sweden,1990,273159
Haiti,Japan,1990,823960
Haiti,Norway,1990,114705
Haiti,Switzerland,1990,181024
Haiti,Tunisia,1990,15613
Haiti,United Kingdom,1990,448000
Haiti,United States of America,1990,3247454
Honduras,Austria,1990,2639994
Honduras,Belgium/Luxembourg,1990,2829568
Honduras,Bulgaria,1990,376339
Honduras,Cyprus,1990,70212
Honduras,Czechia,1990,925401
Honduras,Denmark,1990,1346678
Honduras,Finland,1990,1537656
Honduras,France,1990,8848192
Honduras,Germany,1990,19197528
Honduras,Greece,1990,901529
Honduras,Hungary,1990,806040
Honduras,Ireland,1990,181148
Honduras,Italy,1990,7361089
Honduras,Malta,1990,29489
Honduras,Netherlands,1990,4392500
Honduras,Poland,1990,610849
Honduras,Portugal,1990,775147
Honduras,Romania,1990,620679
Honduras,Spain,1990,4287181
Honduras,Sweden,1990,2481314
Honduras,Japan,1990,7484663
Honduras,Norway,1990,1041954
Honduras,Switzerland,1990,1644379
Honduras,Tunisia,1990,141829
Honduras,United Kingdom,1990,4069522
Honduras,United States of America,1990,29499120
India,Austria,1990,3011267
India,Belgium/Luxembourg,1990,3227501
India,Bulgaria,1990,429265
India,Cyprus,1990,80086
India,Czechia,1990,1055544
India,Denmark,1990,1536066
India,Finland,1990,1753903
India,France,1990,10092548
India,Germany,1990,21897353
India,Greece,1990,1028315
India,Hungary,1990,919397
India,Ireland,1990,206624
India,Italy,1990,8396308
India,Malta,1990,33636
India,Netherlands,1990,5010235
India,Poland,1990,696755
India,Portugal,1990,884159
India,Romania,1990,707967
India,Spain,1990,4890105
India,Sweden,1990,2830271
India,Japan,1990,8537261
India,Norway,1990,1188489
India,Switzerland,1990,1875635
India,Tunisia,1990,161775
India,United Kingdom,1990,4641836
India,United States of America,1990,33647699
Indonesia,Austria,1990,10503675
Indonesia,Belgium/Luxembourg,1990,11257928
Indonesia,Bulgaria,1990,1497332
Indonesia,Cyprus,1990,279353
Indonesia,Czechia,1990,3681873
Indonesia,Denmark,1990,5357992
Indonesia,Finland,1990,6117832
Indonesia,France,1990,35204071
Indonesia,Germany,1990,76380710
Indonesia,Greece,1990,3586893
Indonesia,Hungary,1990,3206972
Indonesia,Ireland,1990,720730
Indonesia,Italy,1990,29287374
Indonesia,Malta,1990,117328
Indonesia,Netherlands,1990,17476327
Indonesia,Poland,1990,2430371
Indonesia,Portugal,1990,3084057
Indonesia,Romania,1990,2469480
Indonesia,Spain,1990,17057297
Indonesia,Sweden,1990,9872337
Indonesia,Japan,1990,29779035
Indonesia,Norway,1990,4145599
Indonesia,Switzerland,1990,6542449
Indonesia,Tunisia,1990,564293
Indonesia,United Kingdom,1990,16191303
Indonesia,United States of America,1990,117367389
Jamaica,Austria,1990,22825
Jamaica,Belgium/Luxembourg,1990,24464
Jamaica,Bulgaria,1990,3253
Jamaica,Cyprus,1990,607
Jamaica,Czechia,1990,8000
Jamaica,Denmark,1990,11642
Jamaica,Finland,1990,13293
Jamaica,France,1990,76498
Jamaica,Germany,1990,165973
Jamaica,Greece,1990,7794
Jamaica,Hungary,1990,6968
Jamaica,Ireland,1990,1566
Jamaica,Italy,1990,63641
Jamaica,Malta,1990,254
Jamaica,Netherlands,1990,37976
Jamaica,Poland,1990,5281
Jamaica,Portugal,1990,6701
Jamaica,Romania,1990,5366
Jamaica,Spain,1990,37065
Jamaica,Sweden,1990,21453
Jamaica,Japan,1990,64709
Jamaica,Norway,1990,9008
Jamaica,Switzerland,1990,14217
Jamaica,Tunisia,1990,1226
Jamaica,United Kingdom,1990,35184
Jamaica,United States of America,1990,255036
Kenya,Austria,1990,2996051
Kenya,Belgium/Luxembourg,1990,3211193
Kenya,Bulgaria,1990,427096
Kenya,Cyprus,1990,79682
Kenya,Czechia,1990,1050211
Kenya,Denmark,1990,1528304
Kenya,Finland,1990,1745039
Kenya,France,1990,10041550
Kenya,Germany,1990,21786704
Kenya,Greece,1990,1023119
Kenya,Hungary,1990,914751
Kenya,Ireland,1990,205580
Kenya,Italy,1990,8353881
Kenya,Malta,1990,33466
Kenya,Netherlands,1990,4984918
Kenya,Poland,1990,693235
Kenya,Portugal,1990,879691
Kenya,Romania,1990,704390
Kenya,Spain,1990,4865395
Kenya,Sweden,1990,2815969
Kenya,Japan,1990,8494122
Kenya,Norway,1990,1182483
Kenya,Switzerland,1990,1866157
Kenya,Tunisia,1990,160958
Kenya,United Kingdom,1990,4618380
Kenya,United States of America,1990,33477675
Lao People's Democratic Republic,Austria,1990,149118
Lao People's Democratic Republic,Belgium/Luxembourg,1990,159826
Lao People's Democratic Republic,Bulgaria,1990,21257
Lao People's Democratic Republic,Cyprus,1990,3965
Lao People's Democratic Republic,Czechia,1990,52270
Lao People's Democratic Republic,Denmark,1990,76066
Lao People's Democratic Republic,Finland,1990,86854
Lao People's Democratic Republic,France,1990,499783
Lao People's Democratic Republic,Germany,1990,1084357
Lao People's Democratic Republic,Greece,1990,50922
Lao People's Democratic Republic,Hungary,1990,45528
Lao People's Democratic Republic,Ireland,1990,10232
Lao People's Democratic Republic,Italy,1990,415785
Lao People's Democratic Republic,Malta,1990,1665
Lao People's Democratic Republic,Netherlands,1990,248107
Lao People's Democratic Republic,Poland,1990,34503
Lao People's Democratic Republic,Portugal,1990,43783
Lao People's Democratic Republic,Romania,1990,35058
Lao People's Democratic Republic,Spain,1990,242158
Lao People's Democratic Republic,Sweden,1990,140155
Lao People's Democratic Republic,Japan,1990,422765
Lao People's Democratic Republic,Norway,1990,58853
Lao People's Democratic Republic,Switzerland,1990,92882
Lao People's Democratic Republic,Tunisia,1990,8011
Lao People's Democratic Republic,United Kingdom,1990,229864
Lao People's Democratic Republic,United States of America,1990,1666233
Liberia,Austria,1990,33476
Liberia,Belgium/Luxembourg,1990,35880
Liberia,Bulgaria,1990,4772
Liberia,Cyprus,1990,890
Liberia,Czechia,1990,11734
Liberia,Denmark,1990,17076
Liberia,Finland,1990,19497
Liberia,France,1990,112197
Liberia,Germany,1990,243427
Liberia,Greece,1990,11431
Liberia,Hungary,1990,10220
Liberia,Ireland,1990,2296
Liberia,Italy,1990,93340
Liberia,Malta,1990,373
Liberia,Netherlands,1990,55698
Liberia,Poland,1990,7745
Liberia,Portugal,1990,9828
Liberia,Romania,1990,7870
Liberia,Spain,1990,54362
Liberia,Sweden,1990,31464
Liberia,Japan,1990,94907
Liberia,Norway,1990,13212
Liberia,Switzerland,1990,20851
Liberia,Tunisia,1990,1798
Liberia,United Kingdom,1990,51603
Liberia,United States of America,1990,374053
Madagascar,Austria,1990,1313150
Madagascar,Belgium/Luxembourg,1990,1407445
Madagascar,Bulgaria,1990,187193
Madagascar,Cyprus,1990,34924
Madagascar,Czechia,1990,460300
Madagascar,Denmark,1990,669846
Madagascar,Finland,1990,764840
Madagascar,France,1990,4401147
Madagascar,Germany,1990,9548972
Madagascar,Greece,1990,448426
Madagascar,Hungary,1990,400929
Madagascar,Ireland,1990,90104
Madagascar,Italy,1990,3661453
Madagascar,Malta,1990,14668
Madagascar,Netherlands,1990,2184858
Madagascar,Poland,1990,303840
Madagascar,Portugal,1990,385563
Madagascar,Romania,1990,308729
Madagascar,Spain,1990,2132471
Madagascar,Sweden,1990,1234221
Madagascar,Japan,1990,3722919
Madagascar,Norway,1990,518275
Madagascar,Switzerland,1990,817925
Madagascar,Tunisia,1990,70546
Madagascar,United Kingdom,1990,2024207
